Aggregated_gear,Gear_name,Gear_type,Gear_code,Gear_ISL,Gear_FRO,Gear_group,CODE,NORSK,ENGLISH,redskap
Pots,Pots,pots_and_traps,FPO,,,,NA,NA,NA,NA
Pots,Traps,pots_and_traps,FIX,,,,NA,NA,NA,NA
Pots,,pots_and_traps,41,Whelk trap,Traps,,41,Ruser,Fyke net,Ruser
Dropped,Other,,80,,,,80,Annet,Other,Annet
Dropped,Unkown,,NK,,,,NA,NA,NA,NA
Harpoons,Harpoon and similar unspecified types,,70,,,,70,Harpun og lignende uspesifiserte typer,Harpoon and similar unspecified types,Harpun og lignende uspesifiserte typer
Kelp harvesting,Kelp harvesting,,Seaweed,,,,NA,NA,NA,NA
Dredging,Dredge,dredge_fishing,81,,,,81,Skjellskrape,Hand rake,Skjellskrape
Dredging,,dredge_fishing,DRB,Shellfish dredge,,,NA,NA,NA,NA
Dredging,,dredge_fishing,DRM,Scallop dredge,Scallop dredge,,NA,NA,NA,NA
Recreational,Recreational,,DUMMY,,,,NA,NA,NA,NA
