"","Dredging","Harpoons","Kelp harvesting","Longlines_and_Gillnets","Pelagic_Trawlers","Pots","Recreational","Seiners","Shelf_Trawlers"
"Inshore Gravel",0,0.0503016490022063,0,0.138937603227698,0.000983549671428655,0.15728035097343,0.0746196882280426,0.0777376310511118,0.104924182334288
"Inshore Rock",0,0.422786907192335,1,0.420237537425419,0.00210542050480941,0.473918078598732,0.253581945391938,0.311689208451246,0.209914562269303
"Inshore Sand",0,0.19978533804117,0,0.316082773443171,0.00338752840671811,0.297249010408214,0.487890343163392,0.18639894746395,0.137641270015781
"Inshore Silt",0,0.0254641846833407,0,0.0630337894011421,0.000778135526848193,0.0554712878990966,0.183908023216627,0.0294877420684189,0.0508602954755662
"Offshore Overhang",0,0.301661921080948,0,0.0617082965025708,0.992745365890196,0.0160812721205276,0,0.394686470965273,0.496659689905061
